incident_id,site,incident_date,incident_type,severity,compliance_score,description,root_cause,response_time_hours,status
INC-03602,SITE-003,04/07/2026,Near Miss,High,59.8,Perform Republican training game wish in no collection former often front peace.,Third-party Damage,12.1,Closed
INC-05934,SITE-003,2024-09-23,Leak,High,57.3,Mrs knowledge say life work two establish.,Corrosion,10.9,Under Investigation
INC-00014,SITE-001,2025-05-31,Leak,High,104.0,May lose responsibility director brother loss modern need join former.,Operator Error,15.7,Under Investigation
INC-02598,SITE-004,2025-01-26,Leak,low ,94.2,Picture paper Mr analysis glass only car know.,,5.0,Open
INC-04518,SITE-002,30/05/2025,fire,Low,-5.0,Police law alone policy find prepare kitchen number remember minute traditional lay meeting memory it responsibility democratic hour voice.,Corrosion,0.9,Open
INC-04705,SITE-004,14-Apr-2026,Spill,Low,87.7,Surface it expect act agree coach tonight.,Third-party Damage,12.8,Under Investigation
INC-04381,SITE-001,2026-02-15,Leak,High,75.7,Well experience pull card baby out.,Material Fatigue,10.0,Open
INC-00417,SITE-002,2023-08-30,Spill,Medium,92.3,Treatment help half heart land smile detail science clear.,Material Fatigue,5.8,Under Investigation
INC-02610,SITE-005,2025-05-19,Near Miss,High,40.9,Law community enough chair meeting blue model those current mission hair sea break authority we.,Sensor Malfunction,6.7,Closed
INC-02018,SITE-006,04/10/2024,FIRE,Medium,74.6,Just easy college organization drive provide involve service.,Corrosion,2.1,Open
INC-00247,SITE-002,2025-02-15,Near Miss,Medium,77.6,Man writer rate add believe today study.,Valve Failure,3.8,Open
INC-03529,SITE-003,2024-04-03,Fire ,High,59.0,Mouth story school box region sometimes simple.,Sensor Malfunction,2.7,Under Investigation
INC-03570,SITE-002,21-May-2024,Near Miss,,74.0,Seat field campaign fund agent situation beyond take.,Third-party Damage,2.2,Under Investigation
INC-01264,SITE-002,29/03/2026,Equipment Failure,Medium,66.9,Of character a hand main kind however customer table bill these seat buy.,Valve Failure,11.5,Closed
INC-01403,SITE-004,2025-08-09,Equipment Failure,Critical,28.9,Service trouble community build trip true fast later fund and behind never machine before find answer fund officer.,Operator Error,11.9,Under Investigation
INC-01966,SITE-003,2025-07-12,Near Miss,Medium,62.1,His hand dark western relationship.,Valve Failure,2.6,Under Investigation
INC-02326,SITE-002,2024-04-05,Spill ,Low,84.9,Before just hundred much student improve good.,Operator Error,11.2,Closed
INC-05884,SITE-001,2025-06-18,EQUIPMENT FAILURE,Medium,67.5,Audience age fund save imagine clear.,Corrosion,20.7,Closed
INC-03684,SITE-002,02/28/2026,Leak,Medium,77.0,Wonder kitchen property article process walk television budget live themselves positive suffer.,Third-party Damage,5.7,Open
INC-04568,SITE-005,2025-12-11,Near Miss,Low,99.5,Discover beat street teach young gas happen support.,Operator Error,2.6,Open
INC-02165,SITE-001,2024-02-07,Near Miss,Low,92.3,Would attorney know reality.,Third-party Damage,13.8,Closed
INC-03275,SITE-004,12/02/2023,Spill,Low,88.1,Around natural sit toward condition long shoulder wide foreign open ok among read do student law base agent trouble.,Valve Failure,28.1,Closed
INC-02923,SITE-004,2025-12-13,Near Miss,Low,83.4,Anyone too degree several bit page whom position.,Sensor Malfunction,14.6,Open
INC-05786,SITE-005,2026-04-30,Equipment Failure,,55.1,Result least action affect show leave.,Corrosion,4.6,Closed
INC-00850,SITE-003,2025-06-15,Near Miss,High,60.2,Keep interest color card majority hit paper real test vote peace play response we standard manage.,Sensor Malfunction,6.0,Open
INC-03514,SITE-006,2023-09-11,Equipment Failure,Low,86.4,Above of white fact put peace much your light plant focus page coach story perform require within.,Third-party Damage,8.2,Closed
INC-02684,SITE-006,2026-04-10,Leak,Medium,78.1,Individual two could hair usually child.,Sensor Malfunction,2.6,Open
INC-03980,SITE-004,2024-05-07,LEAK,Medium,78.9,Capital TV prove respond program field place television study international key be deep activity form teacher how give.,Sensor Malfunction,7.1,Open
INC-04065,SITE-005,2025-08-31,Spill,,83.8,Girl thus station opportunity need parent again amount call blue anything station require radio establish keep Republican major event.,Material Fatigue,7.6,Closed
INC-01502,SITE-004,04/08/2025,Near Miss,Medium,66.8,Mouth bad recognize west those trouble realize wish cup half son stage bank morning lay break.,Operator Error,5.7,Closed
INC-03809,SITE-002,2024-12-17,Equipment Failure,Low,89.6,Woman break statement give if today must arrive these idea involve mouth happy.,Material Fatigue,10.7,Open
INC-00900,SITE-002,2025-07-08,Near Miss,Medium,68.8,Science charge know mouth but recently light.,Sensor Malfunction,22.8,Under Investigation
INC-05996,SITE-002,2025-08-06,Equipment Failure,Medium,82.7,President use at produce would risk hotel over reflect.,Material Fatigue,1.3,Under Investigation
INC-03675,SITE-006,2025-11-25,Leak,Critical,45.3,Enough push student it evening present discuss issue.,,6.4,Under Investigation
INC-04818,SITE-003,2024-10-14T00:00:00Z,Leak,Critical,47.2,Then before here per attention seem stand interview talk hair draw.,Valve Failure,4.5,Under Investigation
INC-01313,SITE-006,01/31/2024, Leak,CRITICAL,40.7,Share training reach moment get agent save require middle.,Sensor Malfunction,14.8,Open
INC-02615,SITE-003,2025-06-03,Near Miss,Medium,71.8,Tell surface read affect month news some early.,Material Fatigue,6.0,Open
INC-05632,SITE-006,2025-02-28,Leak,High,63.7,Particular stop need experience model north wife put foreign.,Sensor Malfunction,2.5,Under Investigation
INC-01315,SITE-004,01/10/2024,spill,Medium,75.5,Stock debate tonight above shoulder information provide agreement the here seven number hundred arrive term Congress commercial.,Sensor Malfunction,10.1,Closed
INC-02265,SITE-001,2026-06-15,Equipment Failure,Low,90.0,Six every want listen history.,Third-party Damage,7.6,Closed
INC-01939,SITE-001,2025-01-24,Spill,Med,69.9,Summer finish treat size we really theory lay threat social material example box which.,Third-party Damage,1.9,Under Investigation
INC-04325,SITE-003,2025-10-21,Spill,High,54.2,Ability arrive among laugh actually current day big Democrat short building catch.,Sensor Malfunction,5.9,Open
INC-04393,SITE-003,10/29/2023,Equipment Failure,Critical,36.6,Support ever church including it relate smile current fast kid control treat.,,8.2,Closed
INC-05690,SITE-001,2025-07-18,Fire,Critical,54.8,Home generation husband party truth west let save decision.,Valve Failure,14.1,Closed
INC-03714,SITE-002,01/13/2024,,Medium,79.3,Bag reflect party sing use what nature allow police change cause exactly believe blood.,Third-party Damage,5.1,Closed
INC-04599,SITE-005,2024-02-22,equipment failure,Critical,40.3,Hour late couple drug we doctor this office sometimes consider.,Operator Error,2.7,Open
INC-04732,SITE-006,2024-05-29,Leak,Hi,56.7,Yourself concern manage him from media receive consider three player laugh.,Operator Error,8.2,Open
INC-01387,SITE-005,2023-08-12,Spill,Medium,68.9,Step table whatever pattern argue worry make drug value.,Material Fatigue,13.3,Open
INC-02001,SITE-001,2024-07-31,Fire,Medium,56.9,Suffer play different wear southern public large.,Valve Failure,10.6,Under Investigation
INC-02179,SITE-002,2026-06-28,Equipment Failure,Medium,79.0,Father seat generation among upon artist my boy manager.,,0.9,Under Investigation
INC-04605,SITE-006,2025-10-06,Near Miss,High,44.2,Down could break affect lot religious outside.,,5.2,Closed
INC-02105,SITE-006,2026-01-18,Leak,High,52.3,Firm ask sure run something development.,Sensor Malfunction,4.0,Open
INC-04286,SITE-004,2023-12-08,Fire,Low,94.5,Increase fine herself base well ball again.,Corrosion,8.0,Closed
INC-03800,SITE-003,2026-07-07,Leak,Critical,50.0,Foreign man accept even nation public area professional happy end establish similar where although listen.,,4.3,Open
INC-01692,SITE-005,2025-04-08,,Medium,83.0,Each onto threat parent into late push hit.,Material Fatigue,12.2,Closed
INC-02853,SITE-006,2026-04-10,Near Miss,High,80.1,Customer coach simple miss occur blood Mr game woman bag project assume century building writer operation when.,Material Fatigue,8.6,Open
INC-04360,SITE-006,12/10/2024,Near Miss,High,60.2,Particularly beat church property smile.,Sensor Malfunction,5.2,Open
INC-03100,SITE-003,2026-03-30,near miss,Critical,33.5,Media if fall chance mouth establish receive question word month animal gun listen lay.,Operator Error,3.6,Closed
INC-03541,SITE-006,2025-11-20,Spill,High,43.4,Seven debate how seven year daughter want choice tax compare certain low teach ten main another at stand great increase.,Valve Failure,6.0,Open
INC-05251,SITE-004,2024-04-24,Spill,Medium,76.8,Yes place industry provide successful change argue ahead plan truth difficult resource quality half.,Third-party Damage,14.9,Open
INC-02284,SITE-002,2025-01-02,Leak,High,62.4,Avoid easy nature because wall.,Sensor Malfunction,8.3,Open
INC-05862,SITE-005,2023-12-20,Spill,Low,88.2,Do sit nation forget cut no behind responsibility.,Valve Failure,3.9,Under Investigation
INC-04762,SITE-003,2025-10-14,Spill,Medium,78.1,Recent by shoulder house where book.,Third-party Damage,6.7,Under Investigation
INC-01693,SITE-003,2026-01-04,Near Miss,Low,86.1,Tree claim college themselves reality risk save describe particular head film reach show.,Third-party Damage,18.0,Closed
INC-04623,SITE-003,2023-07-25,Leak,Critical,58.9,Though during politics coach result then game give floor now recent stay street sell idea.,,7.8,Under Investigation
INC-02302,SITE-003,2024-06-04,Equipment Failure,Low,88.5,Lawyer although fire people treatment process.,Corrosion,0.1,Open
INC-03749,SITE-006,2025-07-19,Spill,High,57.7,Teach discover peace surface modern low her north mention land.,Third-party Damage,4.0,Closed
INC-02186,SITE-006,2025-10-28,Leak,Medium,85.7,Box yeah smile inside almost those each.,Valve Failure,3.8,Open
INC-05399,SITE-005,2025-02-09T00:00:00Z,Spill,,55.3,Leave prevent newspaper practice medical oil each back join friend could participant.,Material Fatigue,8.2,Closed
INC-05301,SITE-005,08/25/2023,Leak,Medium,72.4,Born address stuff maintain all.,,23.3,Closed
INC-02464,SITE-006,2025-10-28,Spill,Critical,58.0,Nothing serve gun art into player activity ready hit day what sing drive election.,Material Fatigue,3.6,Closed
INC-04890,SITE-006,2023-12-28,Leak,Critical,51.2,Majority night former generation quite happy small company garden development chance life begin statement.,Operator Error,8.1,Open
INC-03478,SITE-002,2024-12-05,Near Miss,Low,79.8,Itself professional college national focus.,Operator Error,4.0,Under Investigation
INC-03394,SITE-006,2025-08-01T00:00:00Z,Leak,Medium,72.5,Couple forget stage until bed nearly sing region trip.,Corrosion,2.6,Closed
INC-04913,SITE-006,2025-03-25,Leak,Critical,43.4,Dinner guy certain effort hand total bed among especially financial sign mouth federal back anything page kid.,Operator Error,8.7,Under Investigation
INC-04952,SITE-004,2026-05-22,near miss,Low,94.4,Program scene fire but because performance every mouth heavy explain office matter itself.,Corrosion,26.1,Closed
INC-00280,SITE-001,2025-09-16,Near Miss,Medium,75.2,West both job above rest between PM material.,Sensor Malfunction,4.0,Open
INC-05241,SITE-001,04/27/2024,Near Miss,Low,86.3,Happy leader conference success popular really still possible public trial until yourself.,Third-party Damage,28.0,Open
INC-00224,SITE-003,2025-03-25,Leak,High,59.5,Truth dark sell though attention low ball simply.,Operator Error,3.5,Open
INC-04901,SITE-006,2026-06-08,Near Miss,High,65.9,Including talk want under itself enough well doctor.,Sensor Malfunction,7.1,Under Investigation
INC-03989,SITE-002,2024-04-16,Equipment Failure,Medium,76.3,News prove fine catch job someone occur single radio little town of exactly economic firm instead key order political.,Third-party Damage,8.9,Closed
INC-03761,SITE-002,2025-04-07,Fire,Low,82.8,Industry song foreign.,Operator Error,14.5,Closed
INC-03094,SITE-003,2026-04-15,Leak,MEDIUM,79.7,Score big imagine prepare condition sometimes really answer.,Third-party Damage,23.2,Under Investigation
INC-02293,SITE-006,2025-07-03,Leak,HIGH,74.7,Soldier college office happy produce recent list.,Valve Failure,3.0,Open
INC-02903,SITE-003,2024-11-30,Leak,High,41.0,Term minute include like too age somebody follow garden why free seek.,Corrosion,5.9,Closed
INC-00832,SITE-006,2025-12-13,Near Miss,Critical,45.8,Billion indeed war have upon available dog something reflect marriage.,Valve Failure,2.4,Closed
INC-02943,SITE-004,2025-01-05,Fire,Medium,77.8,Marriage top teach far building what surface right hear car.,Third-party Damage,4.3,Under Investigation
INC-01134,SITE-004,2024-03-08,Near Miss,Low,76.0,Drop sound officer while continue light notice task.,Material Fatigue,8.6,Open
INC-04076,SITE-003,2024-05-14,Near Miss,Critical,43.0,West computer different to every or sign a amount eight trial fight interest two ago.,Third-party Damage,1.9,Closed
INC-01811,SITE-001,2025-10-25,near-miss,Low,83.0,Study bit leader myself administration around maybe their foreign watch son trial teacher.,Material Fatigue,17.2,Closed
INC-03425,SITE-005,2026-09-22,Near Miss,Medium,75.6,Can story outside piece church bank during drive.,Valve Failure,1.9,Open
INC-02246,SITE-001,2025-05-14,Near Miss,Low,85.3,But daughter them leg natural local leader rather simply red.,Corrosion,1.6,Closed
INC-04264,SITE-006,2026-09-07,Equipment Failure,High,69.1,Everyone sing weight hair fill front doctor draw event like husband.,Operator Error,8.2,Under Investigation
INC-01084,SITE-006,2024-02-20,Near Miss,High,57.4,Alone blue ground half effort.,Corrosion,4.6,Closed
INC-03716,SITE-003,03-Feb-2026,Leak,High,50.8,Medical former call start sea health edge nation issue religious place wonder.,Material Fatigue,17.4,Closed
INC-01749,SITE-002,2024-06-10,Leak,Medium,68.4,Subject chair already particular machine military design kind however well.,Valve Failure,2.0,Open
INC-04504,SITE-006,2024-02-17,Near Miss,High,83.6,Professor thus add traditional pay.,Material Fatigue,2.7,Closed
INC-02323,SITE-003,2025-07-24,Near Miss,Critical,43.3,Particular material maintain hit century bank group short check.,Material Fatigue,2.8,Under Investigation
INC-05631,SITE-005,12/01/2025,Equipment Failure,Medium,66.0,Light skin those perform day democratic suddenly hair crime other offer thank base plant.,,1.0,Open
INC-01826,SITE-004,2026-04-28,Equipment Failure,Medium,69.3,Listen experience say most amount attorney conference cultural.,Sensor Malfunction,5.9,Closed
INC-02371,SITE-003,2026-01-02,Near Miss,High,56.0,Professor real road son those member century behind.,Valve Failure,6.6,Under Investigation
INC-03718,SITE-003,2025-03-18,Leak,Medium,78.9,Share lose institution down color own.,Material Fatigue,7.4,Under Investigation
INC-02958,SITE-002,2025-09-15,Fire,Critical,40.3,Husband positive watch end.,Material Fatigue,6.3,Open
INC-03444,SITE-001,2025-04-11,Near  Miss,Medium,-12.3,Tonight still material customer stuff you indeed.,Valve Failure,4.4,Under Investigation
INC-02766,SITE-006,2023-12-29,Leak,Medium,70.0,End court detail that nation should rock heart wrong you.,Operator Error,7.8,Open
INC-04329,SITE-001,11-Aug-2025,Leak,Low,83.5,Star clear sit idea tax research.,,4.8,Open
INC-01364,SITE-005,2025-05-29,Equip. Failure,High,63.5,Knowledge style television southern until area lawyer foot table seat sport raise far news.,Operator Error,0.6,Open
INC-00116,SITE-001,2025-10-05,Equipment Failure,Low,90.3,Trouble cut too two woman discussion.,Valve Failure,3.2,Closed
INC-04071,SITE-002,2026-04-22,Spill,Low,93.8,Interesting meet show way face material security special middle hand cover guy.,,7.2,Open
INC-03431,SITE-006,2024-11-21T00:00:00Z,Fire,,70.2,Ago affect address ask sound sister scientist most local.,Sensor Malfunction,4.4,Under Investigation
INC-05573,SITE-002,2025-05-22,Near Miss,Medium,68.9,Strong stand health pass son difficult respond often thing.,Operator Error,4.6,Open
INC-00462,SITE-006,2025-09-27,Leak,Critical,35.2,On scene land age level adult summer source old before player.,Valve Failure,13.4,Closed
INC-04759,SITE-003,2025-10-13T00:00:00Z,fire,Low,91.3,Study today happy bring effort easy natural daughter field now religious its cover new sense technology few at point plant.,Valve Failure,7.0,Closed
INC-03076,SITE-002,2025-03-15,Leak,Medium,87.0,Determine wonder bad region available cultural learn my fish idea PM.,,1.9,Open
INC-01928,SITE-005,2024-02-23,Near Miss,Medium,73.9,Management should cell listen second leave itself.,Corrosion,6.1,Under Investigation
INC-03960,SITE-006,2025-11-26,,Low,83.5,Apply small else impact high anyone view agreement interesting least well social thought general particular.,Corrosion,4.9,Under Investigation
INC-03125,SITE-004,2023-10-28,Near Miss,High,53.7,Grow action audience along nature near born increase Mrs TV catch very.,Material Fatigue,9.1,Open
INC-05062,SITE-006,02/04/2024,Leak,Low,93.0,Itself material treatment yes weight risk remember break specific hotel father very near purpose husband.,Sensor Malfunction,3.0,Open
INC-01720,SITE-006,09/05/2024,Equipment Failure,Medium,73.2,Different camera senior order choice team.,Material Fatigue,6.0,Closed
INC-05277,SITE-002,2025-12-09,Spill,Low,95.8,Million style suddenly computer against eat federal finally.,Material Fatigue,13.9,Under Investigation
INC-00039,SITE-005,2025-11-04,Equipment Failure,Low,96.2,Who pretty important store whole cell decade summer every expert base compare huge difference election expect.,Valve Failure,13.9,Open
INC-01262,SITE-001,2025-05-07,Near Miss,Low,77.1,Help method toward live Mrs take can purpose choose cell central discussion by put approach hit friend nice.,,5.5,Under Investigation
INC-03837,SITE-002,2025-12-31,Near Miss,Medium,78.5,Leg effect level particular attorney make international if science dark.,Valve Failure,15.7,Open
INC-04962,SITE-006,2025-05-08,Near Miss,High,59.9,Task hotel bed change prevent campaign brother half idea our these or person tonight.,,9.7,Under Investigation
INC-03947,SITE-003,2024-05-06,Leak,Medium,76.5,Cost stand election prepare nor think language follow.,Operator Error,5.1,Closed
INC-03268,SITE-002,21-Dec-2023,Near Miss,Medium,-0.5,Civil each child anyone material relate seek identify decide price career somebody work goal bill wide and I good.,Third-party Damage,11.9,Closed
INC-03988,SITE-003,2024-11-06,,High,66.4,Often about else network teach feeling allow give action situation.,Corrosion,1.7,Open
INC-02682,SITE-002,2026-06-08,Near Miss,High,51.2,Sense door ground leave fine expert form.,Material Fatigue,7.8,Open
INC-03405,SITE-001,2024-03-25,Equipment Failure,Low,84.4,Store impact organization tonight cause condition source million TV fund minute paper admit still husband must.,Sensor Malfunction,19.6,Open
INC-05549,SITE-001,2024-08-25,Leak,Low,80.0,Despite story fine cause travel difference force loss order meet.,Corrosion,6.7,Open
INC-03039,SITE-006,2024-09-14,Leak,Critical,29.0,Attention surface spring data still technology manager age huge.,Operator Error,14.7,Closed
INC-01113,SITE-001,2024-08-12,Spill,Medium,63.1,Performance customer citizen purpose minute cell week owner school.,Valve Failure,9.0,Open
INC-03681,SITE-006,2025-07-30,Equipment Failure,High,77.3,Behavior market point glass pay enough.,Sensor Malfunction,9.8,Under Investigation
INC-01380,SITE-003,2025-06-21T00:00:00Z,Spill,Medium,69.9,Rise day final your heavy pick apply expect less person quickly girl.,Sensor Malfunction,3.5,Open
INC-02798,SITE-006,2025-08-28,Spill,High,72.5,Agree religious possible increase star resource fight kitchen show reveal see light man parent during evidence let.,Corrosion,6.7,Under Investigation
INC-05839,SITE-005,2024-11-27,near-miss,Low,81.4,They market answer official throughout process again strong sense relate able.,Operator Error,12.5,Under Investigation
INC-01378,SITE-001,2025-07-04,Leak,Medium ,73.4,Peace officer agency imagine about rise law chair create gas raise statement child light enjoy.,Third-party Damage,16.6,Closed
INC-05303,SITE-002,2024-06-03,Fire,Medium,80.1,Try attention light student become us player south anyone.,Corrosion,1.8,Open
INC-02514,SITE-003,2025-03-18,Leak, Critical,52.0,Gun suggest but stand.,Valve Failure,14.0,Closed
INC-04365,SITE-003,07-Feb-2024,Spill,Lo,92.7,Raise since include do cup commercial finish usually probably behind floor especially point front.,Sensor Malfunction,14.8,Under Investigation
INC-04253,SITE-006,2024-01-26,Near Miss,,27.5,Crime support recent use include beat professor but career where.,Sensor Malfunction,20.2,Under Investigation
INC-03047,SITE-006,2025-09-22,Equipment Failure,High,49.3,Tell song coach organization character fight.,Valve Failure,1.2,Under Investigation
INC-03346,SITE-002,2024-05-10,Spill,Medium,80.7,Mention officer he help fine ball day view try all toward Congress.,Material Fatigue,9.1,Under Investigation
INC-03795,SITE-005,2023-09-16,Leak,Low,81.8,Career goal option practice share culture whom.,Operator Error,11.5,Open
INC-04750,SITE-004,2026-04-04,Fire,low,92.3,Watch explain read evidence for three hard process approach without provide.,Sensor Malfunction,3.2,Closed
INC-03308,SITE-004,2025-10-15,Fire,High,67.4,Talk bring attorney seven against hold body.,,1.7,Under Investigation
INC-02601,SITE-003,16-Oct-2024,,High,52.6,Reflect ready guess although dark fast campaign available international movie south difference for fight.,Operator Error,0.4,Closed
INC-04982,SITE-001,2025-07-17,Near Miss,Critical,44.8,Middle politics similar perhaps same various official.,Corrosion,12.5,Open
INC-01217,SITE-004,2025-01-12,Near Miss,Low,85.8,Tell common within audience window teacher third carry realize house during ten through even continue trade hundred possible song owner.,Third-party Damage,1.5,Under Investigation
INC-05099,SITE-001,2025-02-25,,High,66.7,Bag method phone debate more fund really lay quickly likely point class market say fly.,,3.5,Closed
INC-01206,SITE-006,2025-12-27,,LOW,115.7,Unit strategy food customer way big physical consumer shoulder new join fill.,Valve Failure,6.9,Open
INC-03122,SITE-002,07/15/2024,Leak,Low,92.6,Place glass government series price.,Operator Error,5.3,Open
INC-03328,SITE-004,2024-08-09,Spill,High,68.1,Sort eat weight born mind next.,Sensor Malfunction,5.5,Closed
INC-01522,SITE-001,11/24/2025,spill,Medium,66.3,Energy budget part threat quality reveal apply drop common order service option company always.,Valve Failure,15.4,Closed
INC-04475,SITE-001,2024-01-09,Fire,Medium,73.6,Hand right professor throughout.,Operator Error,16.2,Open
INC-00427,SITE-006,2024-09-19,,,78.2,Five ago night move.,Sensor Malfunction,13.2,Open
INC-05385,SITE-003,2025-01-31,Leak,High,115.7,Focus back message positive southern government eat physical staff.,,6.2,Open
INC-05190,SITE-006,2026-05-03,leak,Critical,35.5,Case base should behind just center center fine mind.,Third-party Damage,7.7,Under Investigation
INC-00939,SITE-003,2026-06-03,Spill,low ,95.9,South key child beyond thank list exactly mouth education business.,Valve Failure,5.5,Closed
INC-02240,SITE-003,2025-01-13,Leak,High,50.0,Left away chance significant media agreement suddenly list rise receive nation field middle difference safe.,Sensor Malfunction,13.9,Open
INC-00232,SITE-003,2025-05-26,Leak,Critical,51.2,With trip animal for when fine clear for speak past respond see base hospital.,Corrosion,5.3,Open
INC-02114,SITE-005,2025-11-02,Leak,,47.4,Ok investment same seek impact now at box station every shake.,Corrosion,6.8,Closed
INC-03071,SITE-001,2024-05-17,Near Miss,Medium,75.3,Follow image might weight.,Third-party Damage,3.6,Under Investigation
INC-03144,SITE-004,31-Aug-2024,Equipment Failure,Critical,45.1,Bar development focus only safe side director program bad.,Sensor Malfunction,10.3,Under Investigation
INC-05918,SITE-006,2025-11-16,Leak,High,63.5,Reach few central week such decision hold action either.,Valve Failure,9.4,Under Investigation
INC-03296,SITE-006,09/04/2024,Leak,Low,97.8,Federal sometimes fill prepare know movie already detail college ever hospital.,,1.9,Open
INC-00904,SITE-002,2025-12-21,Near Miss,Low,89.5,Deep available huge.,Valve Failure,9.7,Open
INC-05968,SITE-003,2024-08-19,Leak,Low,86.4,Also push accept benefit smile skin city teach establish kitchen government draw fire can character.,Sensor Malfunction,2.2,Under Investigation
INC-01906,SITE-003,2025-01-30,Leak,Low,83.9,Give radio lose minute expert upon carry could best point century much form.,Operator Error,17.0,Open
INC-05116,SITE-005,2024-11-25,Leak,Medium,95.9,Life drive side simply machine me apply buy development tough head purpose listen hear blue build at list practice its TV.,Corrosion,1.9,Under Investigation
INC-00708,SITE-005,08-Jan-2024,Near Miss,Low,90.0,Person various of behavior west before partner station.,Third-party Damage,10.5,Under Investigation
INC-03649,SITE-006,22/07/2024,Fire,Critical,53.8,Culture recently ten tree water share heavy manager.,Third-party Damage,5.0,Closed
INC-04826,SITE-002,2024-05-09,Spill,Low,79.7,Turn away area compare institution yes fill collection road address since.,Operator Error,6.0,Open
INC-05760,SITE-004,2023-07-23,Spill,Medium,70.3,Modern unit water less book system section sea.,Third-party Damage,2.5,Closed
INC-04209,SITE-006,2024-02-26,Spill,Medium,69.6,Million suddenly man want time us not quality throw car prepare after.,Operator Error,3.9,Under Investigation
INC-04606,SITE-003,2024-03-22,Spill,Critical,50.9,Rich history population consumer something real benefit southern still white professor.,,7.9,Open
INC-05726,SITE-005,2024-09-03,Near Miss,Medium,86.3,Unit prevent garden life usually hospital government field church.,Third-party Damage,28.6,Under Investigation
INC-03872,SITE-004,2025-08-15, fire,High,51.8,Suffer behavior seek message similar note.,Valve Failure,14.7,Open
INC-04879,SITE-002,2025-01-14,Near Miss,Medium,67.3,Value any total party soldier kitchen ok memory Congress safe herself money will design.,,10.7,Closed
INC-00308,SITE-004,2024-11-30,Leak,Low,97.2,Manage teacher the huge player.,Valve Failure,6.5,Open
INC-02692,SITE-003,07/12/2023,Equipment Failure,High,45.6,Use Congress maintain school discover hospital much.,Corrosion,1.8,Open
INC-02673,SITE-001,2024-11-02,Spill,Medium,60.6,Stand better draw carry decide.,Corrosion,6.7,Closed
INC-01763,SITE-002,23-Nov-2023,Equipment Failure,Low,89.9,Painting eight pull leader at represent performance black similar mind apply.,Sensor Malfunction,13.8,Open
INC-03569,SITE-004,2025-01-15,Near Miss,crit,42.4,President year fine decade amount win amount player top notice grow name understand your station seem pattern situation thank.,Corrosion,4.9,Under Investigation
INC-05326,SITE-002,2025-03-16,Spill ,Low,77.4,Everybody security out step chance cultural customer.,,9.6,Under Investigation
INC-04311,SITE-003,2024-01-04,Spill,Critical,59.4,Also this billion into fast today again scientist.,,4.1,Closed
INC-00614,SITE-003,10/09/2025,Leak,Medium,68.9,Level measure heart assume president will and degree increase half college.,Material Fatigue,0.6,Open
INC-04679,SITE-006,2024-10-22,Leak,High,52.0,Opportunity dog year production full quite various care use experience.,Third-party Damage,7.0,Open
INC-04979,SITE-006,2025-04-23,Near Miss,Critical,50.9,Mr practice international whole social art at whatever share.,Operator Error,18.7,Closed
INC-04674,SITE-003,2026-06-20,Spill,High,74.4,Letter send task interest similar reason necessary minute.,Corrosion,3.1,Open
INC-03624,SITE-006,27/10/2025,Fire,High,59.1,Pm end often network ask particularly pay character.,Corrosion,2.9,Under Investigation
INC-03134,SITE-005,2023-10-05,Equipment Failure,,88.2,Yeah you bank deep way live television defense any board medical recently.,Material Fatigue,3.8,Under Investigation
INC-03324,SITE-001,06-Nov-2023,Minor Spill,High,65.1,Agree international two speech food she seat production free help.,Valve Failure,3.2,Open
INC-05292,SITE-002,28/01/2025,Near Miss,High,57.2,Or reflect poor wife yet everybody past present far fast.,,15.0,Closed
INC-04999,SITE-005,2025-06-09,Near Miss,,57.7,Maybe leave box everything send chair.,Corrosion,4.8,Under Investigation
INC-05826,SITE-002,2023-09-11,Fire,Medium,81.5,Manage war series last.,Valve Failure,8.3,Closed
INC-04284,SITE-004,2025-04-13T00:00:00Z,Leak,Low,95.5,Song hotel experience let tend south hit.,Operator Error,12.4,Closed
INC-00073,SITE-002,2023-08-26,Fire,Medium,63.5,Require effect big general article whom.,Third-party Damage,5.5,Closed
INC-05708,SITE-001,2023-10-11,Fire,Medium,67.6,Cut fear explain face first argue specific price assume strategy thousand east hear fine goal.,Valve Failure,0.3,Open
INC-02391,SITE-002,2024-11-16,Fire,High,70.6,Too play music challenge consumer age statement.,Third-party Damage,3.0,Open
INC-01020,SITE-006,2025-09-03,Leak,High,59.5,Small every quite be full short TV something mother.,Material Fatigue,17.1,Under Investigation
INC-01063,SITE-004,2023-09-19,Near Miss,Medium,67.0,Practice station bank hour whether.,Corrosion,8.9,Closed
INC-03814,SITE-001,2025-05-01,Equipment Failure,Low,82.9,Account laugh certainly training little see real cup southern place catch couple rule figure media even.,Valve Failure,0.8,Open
INC-03448,SITE-006,2024-07-31,Spill,Critical,60.7,Act believe gun top board middle him unit them one.,Third-party Damage,5.7,Under Investigation
INC-00459,SITE-006,2024-02-04,Leak,Hi,51.6,Certain job though charge realize build allow modern mean degree similar whom safe partner create hand science big here.,Material Fatigue,7.9,Open
INC-00390,SITE-005,2023-10-17,Leak,High,68.1,Serve bank appear despite after seek which newspaper view attention.,,12.5,Closed
INC-03142,SITE-002,2024-07-12,Fire,Low,84.6,Factor TV medical cell safe wind player civil entire improve financial able.,Material Fatigue,3.5,Closed
INC-05176,SITE-005,2025-03-10,Leak,High,50.4,Throughout police heart around hour event car foreign oil simply southern policy TV ask.,Valve Failure,4.6,Closed
