audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status
AUD-07082,SITE-005,2025-10-31,,85.8,Personnel Training,Year senior benefit movie social budget note that environment them weight.,Lose behavior ahead maybe magazine remember keep stand mouth new with.,Benjamin Mercado,In Progress
AUD-01800,SITE-001,2025-06-28,16-Jul-2025,91.3,Personnel Training,Century suddenly show news none medical more order short energy bar today choice require station thank leg in there reason station test.,Yeah statement camera single network.,Michelle Adkins,Closed
AUD-01392,SITE-006,2024-09-22,2024-11-08,74.8,Documentation,Picture write past meet strategy from summer yes course leave rule vote whether total sometimes measure high.,Real book decide hundred better data.,Michelle Pham,Closed
AUD-04132,SITE-002,2025-09-24,,73.5,Environmental Monitoring,Important include president memory its study end art could wear.,Edge from look ahead up at Congress reality if.,Carla Castillo,Open
AUD-08227,SITE-004,2024-08-17,,76.5,Documentation,Three though fund finish matter spend special American seven model role national important.,Responsibility rather radio investment can.,Deanna Tran,Open
AUD-00922,SITE-004,2026-06-15,,80.2,Personnel Training,Might language doctor way until personal media happy yes player vote maybe newspaper perhaps specific can ahead nature stand likely put cell watch.,Recognize yet community question subject animal maintain follow.,Megan Massey,In Progress
AUD-04897,SITE-003,04-May-2024,,27.2,Maintenance Backlog,Perform school painting month chair dinner leg them.,Listen doctor career raise meeting.,Samuel Hoover,Open
AUD-05373,SITE-002,2024-02-05,18/02/2024,70.1,Maintenance Backlog,Factor site yeah might however board too close team although network wrong.,Exist cold follow effort budget modern Democrat management improve.,Anthony Silva,Closed
AUD-02594,SITE-002,04/21/2024,,57.4,Environmental Monitoring,Woman smile tree first firm.,Part serious not own then discover seat government top thousand such federal organization.,Christopher Bennett,Open
AUD-00947,SITE-002,2026-04-17,,82.9,Maintenance Backlog,Light could actually great inside director against without foreign benefit able human local recognize term billion place next area leg.,,Michelle Burns,In Progress
AUD-04798,SITE-003,2025-03-13,,63.8,Safety Equipment,Send war leader five grow something low get past simple view interest almost bag get public senior top detail.,Size speech option perhaps enjoy also key notice although body late stay.,Kelly Myers,In Progress
AUD-08654,SITE-003,2026-03-21,,76.0,Environmental Monitoring,Event drug least for cost able small pressure control table east sea force.,Figure front money leg start usually color.,Wendy Phillips,Open
AUD-07895,SITE-003,2024-12-08T00:00:00Z,,54.0,Documentation,Per in speak president level red nor perform value scene upon teach suffer everyone series certain might sound think.,Experience help religious thing nor.,Kelly Holt,Open
AUD-05917,SITE-006,2025-03-24,,74.1,Documentation,Development her from nearly control.,Type market increase rock pressure.,Kaitlyn Franco,In Progress
AUD-01514,SITE-005,2024-10-27,2024-11-14,79.5,Containment Integrity,True develop look future through nor sense turn Mrs expect measure hot view play Congress well section.,Leg decision go final.,John Hubbard,Closed
AUD-03719,SITE-002,2024-03-09,2024-03-21,86.8,Safety Equipment,Air structure outside writer be attorney morning relationship teacher.,Best forget later yes second across.,Robert Rogers,Closed
AUD-05147,SITE-001,2025-07-04,2025-07-25,86.1,Safety Equipment,Her concern fight while huge budget analysis cold.,Lawyer collection style bar before probably college.,Michelle Hodges,Closed
AUD-01034,SITE-005,2026-02-21,,84.6,Personnel Training,Show everything smile class former have experience.,Fill common human positive radio probably key someone usually sense.,John Pierce,Open
AUD-02730,SITE-006,2024-10-17,,60.2,Emergency Response,Along firm chance knowledge however set.,Throw section administration find job really.,Antonio Stuart,Open
AUD-04204,SITE-006,2025-07-17,2025-10-11,58.3,Documentation,Understand cell degree conference.,Way week hotel myself hotel generation agree night.,Jeremy Dixon,Closed
AUD-02193,SITE-006,2026-02-01,2026-04-09,55.8,Emergency Response,Bed both particularly unit where.,New question city really together treatment outside.,Stacy Baker,Closed
AUD-08748,SITE-004,2024-10-28,,79.6,Environmental Monitoring,Finish impact assume create especially age much culture happy lot fire film kitchen west three.,Level attorney coach attorney half mother scene real no among foot task.,Nicholas Burch,Open
AUD-04484,SITE-004,06/07/2026,2026-06-15,98.4,Documentation,Form politics day write affect anyone interview me but social impact their out.,Executive line create professor Mrs yeah important.,Edward Jones,Closed
AUD-01512,SITE-001,23-Nov-2025,2025-12-12,65.8,Personnel Training,Somebody consumer lay cup prevent create production since some.,Owner production room job data matter audience than voice.,Madison Boyd,Closed
AUD-00155,SITE-003,2024-09-22,,35.3,Safety Equipment,As health training bank represent full fact west huge test investment.,Call hand drug beautiful laugh impact coach sit town as.,Matthew Miller,In Progress
AUD-01157,SITE-004,2026-03-28,,73.4,Environmental Monitoring,Section star attention instead piece claim old want establish turn paper generation of half country.,Identify set purpose occur while already.,Kelly Hood,In Progress
AUD-09027,SITE-004,2025-05-11,2025-06-09,77.9,Personnel Training,With guess inside against speak industry news station democratic lay bad.,,Matthew King,Closed
AUD-07494,SITE-003,2024-05-25,,84.8,Leak Detection,Cut very cold end beat treat plant popular work.,,David Ford,Open
AUD-04208,SITE-003,2025-07-15,,47.5,Documentation,Decade enjoy give ever concern let watch news.,Until actually resource nature fast long understand.,John Navarro,Open
AUD-07987,SITE-001,2025-10-13,2025-11-03,79.4,Maintenance Backlog,Where candidate between its crime quickly father rich suggest accept.,Feeling fish mother all office attack memory deal choose need option.,Alex Joseph,Closed
AUD-03318,SITE-001,2024-10-15,09/11/2024,85.7,Containment Integrity,Lose economic down would mind example music modern into thank fish defense board within whole quickly shake woman scientist.,Suffer thus carry win smile necessary blood.,Devin Johnson,Closed
AUD-08850,SITE-003,2024-07-27T00:00:00Z,,92.7,Documentation,Stage behind opportunity determine nothing site ten finish.,Room low fall herself fear four house fall certainly finish tend always by.,Brenda Hogan,Open
AUD-07452,SITE-005,2024-06-28,,84.3,Emergency Response,Meet thank head agency onto stop thank tell address possible region among office option bill against less suffer range travel.,Offer left enjoy race practice perhaps treat teacher hold want anyone cold ground have if worker.,Emily Lopez,Open
AUD-00268,SITE-006,2025-09-24,,56.4,Containment Integrity,Station safe firm job structure personal must quite direction identify as suffer even majority beyond ago thus.,Some million hard strategy stuff letter voice fill half.,Jodi Wagner,Open
AUD-01054,SITE-004,2026-03-20,,71.0,Emergency Response,Mrs executive meeting situation through trouble four vote create action or concern himself draw.,Hundred interview record success suddenly difficult arrive skin.,Lee Harris,Open
AUD-08076,SITE-005,2024-06-26,2024-07-18,81.5,Containment Integrity,Down black guy eye price theory forget no past.,Else tough example involve school training south some know.,Dalton Oneill,Closed
AUD-07533,SITE-004,2025-02-25,2025-03-14,88.3,Safety Equipment,Official maintain yeah skill six stay focus past institution send beautiful production during newspaper.,From skin American one wind.,Kayla Christensen,Closed
AUD-08168,SITE-006,16/10/2025,,31.0,Personnel Training,Whom future happy public major traditional reason matter artist figure strong.,,Cynthia Knight,Open
AUD-01406,SITE-002,15/08/2024,2024-08-22,96.9,Personnel Training,Those these food either form nature model political somebody large despite a project close PM.,Although third indeed our north decision.,Patrick Nelson,Closed
AUD-08905,SITE-006,2024-04-07,,57.5,Documentation,Month result field president discuss hospital through maybe model only ago bed process always last dinner nor.,Per hair PM sell manager.,Sarah Sanchez,Open
AUD-04690,SITE-002,16/05/2025,2025-06-07,69.3,Personnel Training,Lawyer discover show Mrs moment image beautiful.,Actually language else cold.,Gregory Li,Closed
AUD-08553,SITE-005,2024-09-13,,83.0,Personnel Training,President soldier marriage measure measure identify we door my middle easy help amount recognize too sign offer girl.,Wait property ten key PM world benefit sell offer.,Jared Hanson,In Progress
AUD-06912,SITE-002,2025-04-28,,81.5,Environmental Monitoring,Gas which common development blue church recognize institution election station cost sea specific.,Identify ahead seek campaign brother dark can fly score.,Justin Welch,In Progress
AUD-04912,SITE-003,2026-03-20,,57.7,Personnel Training,Test toward let money win reduce thought glass dark billion one police laugh building party beautiful space still already space discussion.,,Paula Harmon DDS,Open
AUD-02024,SITE-003,2026-04-16,,56.5,Maintenance Backlog,Dinner audience nice sometimes community lead leader identify one cultural movie relationship public perform sport recently consumer player goal.,,Ruben Nunez,Open
AUD-08647,SITE-003,2024-04-24,07/10/2024,40.1,Safety Equipment,Citizen drop she know action forward memory record another move.,Must party according land raise doctor role science today however course story when discuss.,Katherine Espinoza DVM,Closed
AUD-06130,SITE-006,06-Apr-2025,,60.4,Leak Detection,Red much yourself drop price father compare amount mother top former this much.,,Barbara Lamb,Open
AUD-08487,SITE-002,2024-08-21,,83.8,Leak Detection,Happy result contain box quite accept six reality trouble address stop become because administration may.,,Dan Atkins,In Progress
AUD-08425,SITE-004,2024-04-08,2024-05-07,72.2,Safety Equipment,Will major send identify worry bad drug tree agreement road decision or avoid source four.,Town long language where.,Brandon Thompson,Closed
AUD-05369,SITE-004,2025-10-10,2025-11-07,81.5,Maintenance Backlog,Argue order education front plan happen young religious view if scene ever growth section.,,John Dunn,Closed
AUD-05309,SITE-002,2024-07-30,2024-08-12,88.0,Safety Equipment,Southern simply and police mention however approach accept manage claim left behind concern get.,Reduce open like put despite.,Alan Edwards,Closed
AUD-02062,SITE-004,2025-07-25,2025-08-02,78.4,Personnel Training,Machine budget per positive compare hour week.,Response sit safe capital foreign.,Richard Nash,Closed
AUD-00667,SITE-003,2024-03-24,2024-05-17,34.8,Leak Detection,Since common first fact American reach final marriage hundred scene team camera.,Class same stop brother assume thus later avoid must.,Crystal Cabrera,Closed
AUD-02247,SITE-001,2024-05-30,2024-06-28,87.7,Environmental Monitoring,Lot throw perform argue truth economy though mouth hard road usually generation fear among successful public instead pick law dark.,Remain agency why weight pressure.,James Hernandez,Closed
AUD-06173,SITE-002,2025-02-27,2025-03-26T00:00:00Z,77.7,Containment Integrity,Life she many perhaps figure guess eat wide exactly art health ago free music.,Still computer research ready learn.,Kristen Cruz,Closed
AUD-04415,SITE-001,2025-12-27,2026-01-02,63.6,Emergency Response,Beyond type night along debate sit material experience last without owner forward never budget finally them beat individual sense.,Wife exist case growth car when budget our American maybe.,Jody Bernard,Closed
AUD-00858,SITE-006,2024-11-01,27-Dec-2024,55.0,Leak Detection,Southern theory star surface section loss ok same no station water watch property today drive.,,Robert Gibson,Closed
AUD-06635,SITE-001,2025-09-13,2025-10-12,92.7,Personnel Training,Feeling develop including series technology such clear fact contain close political choose box each certainly concern industry field difference report camera.,Once blue baby huge move like without movement list road anyone ready establish local type institution.,Matthew Davis,Closed
AUD-01688,SITE-005,2025-01-28,,81.6,Leak Detection,Trade smile do road across may structure believe modern relationship like my suddenly teach talk beautiful minute pull hour memory next single simply remember meeting lot.,Skill read his she.,Carmen Hernandez,Open
AUD-04169,SITE-002,2026-06-12,,87.7,Leak Detection,Floor may often new seek close major pull design tough walk economic concern whether easy meeting.,,Jeanette Duncan,In Progress
AUD-04094,SITE-002,2026-06-28,2026-07-21T00:00:00Z,97.7,Maintenance Backlog,Break suddenly politics time her impact recognize sense yet paper reason change benefit wall past federal scientist sure.,Focus this life candidate.,Christopher Sharp,Closed
AUD-02035,SITE-001,2025-07-13,,89.5,Containment Integrity,Green the western change cause available policy manager foreign cold blood loss involve improve student phone seat out.,May land mother employee record skill order home.,Erica Moore,In Progress
AUD-00154,SITE-004,02-Nov-2025,2025-11-20,81.2,Safety Equipment,Think sister forward direction common physical company such matter maybe light know particularly later fine recent.,,Duane Simpson,Closed
AUD-02657,SITE-002,2025-04-23,,97.8,Leak Detection,Billion image natural medical term threat page choice seem high parent.,Career individual friend popular spend particularly attack current tend without turn.,Amy Beasley,In Progress
AUD-07385,SITE-003,2026-06-27,,92.5,Emergency Response,Start become owner travel deep travel government let live.,Onto often voice memory relate society image.,Katherine Bird,In Progress
AUD-03775,SITE-005,2025-01-27,,79.0,Leak Detection,Force we table science chair could nature paper simply before half daughter.,Late order get visit anything include role beat.,Vanessa Davis,Open
AUD-03180,SITE-002,2025-04-14,2025-05-12,77.8,Documentation,Report front artist imagine too position worry compare national purpose first itself Mrs professor business.,,Deborah Johnson,Closed
AUD-04090,SITE-006,2025-11-20,,50.8,Emergency Response,Represent design city administration citizen race less of company billion have.,Environmental director little lot kind federal just newspaper amount build place forget.,Gerald Fox,Open
AUD-00394,SITE-005,2024-05-10,2024-06-01,85.0,Personnel Training,Office six down bring return explain film record which moment nice really other magazine production media key.,,Lynn Wallace,Closed
AUD-08103,SITE-001,2025-10-15,,76.3,Personnel Training,Use successful make oil record same listen thought risk trade this also gun in report budget occur involve might.,,Carrie Smith,In Progress
AUD-00094,SITE-001,2025-04-16,2025-05-15,76.3,Environmental Monitoring,Quality usually her member else throw benefit worry five police.,In throw college want easy mission party suffer only others.,Lisa Sweeney,Closed
AUD-05539,SITE-003,2025-01-21,,56.7,Environmental Monitoring,Soon other room rise same across they.,Manage growth threat bit series.,Ian Miller,In Progress
AUD-08472,SITE-004,06-Aug-2024,2024-08-30,95.6,Emergency Response,Cultural return property away rate clearly most this field long situation continue campaign improve.,Side physical resource marriage customer most until.,Melissa Vazquez,Closed
AUD-00930,SITE-001,2024-02-08,2024-02-20,72.5,Maintenance Backlog,His both law can ago threat method project ago house.,Really rock discuss rather goal shoulder.,Janice Roberts,Closed
AUD-08732,SITE-003,2026-03-23,2026-06-20,67.5,Safety Equipment,Loss note loss third left little population know.,Several material entire fight security peace I strong assume.,Kendra Peterson,Closed
AUD-04841,SITE-004,2026-03-08,2026-04-07,89.3,Personnel Training,Go energy conference worker case require station book miss else.,Strategy under doctor democratic significant view wife certain sure so notice military cover field.,Dr. Pamela Miller,Closed
AUD-07766,SITE-004,2025-06-20,2025-07-12,100.0,Personnel Training,Pull near benefit only focus huge despite result history.,In through also point memory.,Rebecca Rogers,Closed
AUD-06657,SITE-002,2025-08-17,2025-09-01,67.1,Leak Detection,Wife billion culture sense focus teacher real attorney box send campaign audience party.,,James Johnson,Closed
AUD-08658,SITE-004,2025-03-17,2025-03-30,95.7,Documentation,Should left interview attorney not pick area property issue cell provide standard Mr change discuss evening last term.,Especially ever well skill meeting career exactly community.,Jon Shields,Closed
AUD-00696,SITE-006,2025-12-05,,71.1,Personnel Training,Section development describe live coach.,Name traditional great life thousand officer explain ever dinner edge area today news wish.,Paul Baker,Open
AUD-03229,SITE-004,2026-06-23,2026-07-10,83.9,Safety Equipment,Shoulder guess everything minute wait career employee seek bag scene ability six computer treatment state goal.,Star special by keep fall door action together thousand since article order.,Neil Martin,Closed
AUD-03277,SITE-003,2025-08-12,,81.7,Leak Detection,Short mother former reason film cell minute at line worry today.,,Steven Snyder,Open
AUD-03699,SITE-004,2024-07-11,2024-07-16,87.9,Personnel Training,Fall audience official would late relate beat there wife speak most.,,Geoffrey Meyers,Closed
AUD-06837,SITE-002,2026-06-14,07/03/2026,84.7,Safety Equipment,Pressure still single must traditional south while short.,,Amy Greer,Closed
AUD-09159,SITE-004,2024-04-03,,79.7,Maintenance Backlog,Might read campaign fine or apply determine notice customer day civil.,Gun require decade put set weight scientist worry learn action my gas once hold phone.,Robert Knapp,Open
AUD-09134,SITE-006,2025-08-25,2025-10-31,62.8,Environmental Monitoring,Game but firm security dream ability six large rather article window.,Several bar require whom boy understand.,Misty Grant,Closed
AUD-07440,SITE-003,2025-11-27,,39.5,Emergency Response,Nearly several style difference today performance improve sort trip last up read growth.,Prepare however responsibility should degree.,Ronald Townsend,Open
AUD-06073,SITE-002,2026-07-19,2026-08-09,75.7,Documentation,Finish energy about section attorney detail teach base you company gun teacher rich bank full pretty stop prevent guy business find week message public go officer.,Make ground act their red better final trade.,Joseph Taylor,Closed
AUD-07166,SITE-003,2024-08-14,,55.6,Leak Detection,Particular itself hard eat yet herself personal science nor public financial lay factor pay us TV point true production young manager trip foot friend wife watch agree.,Road expect same tend attack century accept personal four air along.,Justin Alvarez,In Progress
AUD-00677,SITE-004,2025-08-21,2025-09-14T00:00:00Z,100.0,Maintenance Backlog,Away dog sometimes television she within war away than moment build soon line stuff life decade owner ground show soon part responsibility receive gun.,Center public build chance director production although walk determine of together mother top property sit.,Darrell Kim,Closed
AUD-07734,SITE-002,2025-06-23,14-Jul-2025,80.1,Emergency Response,Under case action may who responsibility anyone book ready success service play we southern factor.,Build memory accept defense then summer campaign work.,James Williams,Closed
AUD-04171,SITE-003,2024-06-17,2024-07-10,81.7,Environmental Monitoring,Fill unit nature feeling if poor foreign effort alone sport newspaper south else nature vote effort significant top live much.,Include hot imagine total mention box state according dark.,Julie Forbes,Closed
AUD-01123,SITE-001,2024-05-30,,65.6,Containment Integrity,Customer president beat leader because offer either firm analysis herself floor administration view expert everybody again phone last meet deep.,Sign financial card big land shoulder music top school soon special piece approach.,Jill Beasley,Open
AUD-04367,SITE-002,2025-02-23,2025-03-19,80.7,Environmental Monitoring,Establish draw perhaps return he outside situation study reason bed article easy social everybody.,After question point window game answer during certain whom.,Alexandria Armstrong,Closed
AUD-01968,SITE-004,11/12/2024,2024-11-21,88.3,Safety Equipment,Action set prove test with coach service large simple specific industry fund major structure agreement.,Subject road continue protect might with anything just.,Gary Haynes,Closed
AUD-07990,SITE-006,2025-05-28,,40.3,Containment Integrity,Party culture authority policy range why beyond political pick employee nothing standard today.,Worker near student from prevent like relate recent inside.,Anthony Ramos,Open
AUD-08718,SITE-002,2024-06-22,,72.5,Personnel Training,Theory sometimes dog let piece training support thus movie industry herself hand agreement coach.,,Julie Rose,In Progress
AUD-03135,SITE-001,2026-07-05,2026-07-14,89.0,Safety Equipment,Stage building everyone north defense peace politics financial learn.,Meet discussion stand develop nor cold newspaper notice training.,Dr. Aaron Maxwell,Closed
AUD-01410,SITE-002,2026-03-21,2026-04-20,65.9,Personnel Training,Relate modern itself who development wrong despite describe finish.,,Amy Shepherd,Closed
AUD-08844,SITE-001,2026-01-23,,99.4,Safety Equipment,Dog different budget several past type service appear box officer get whatever especially production or a morning participant.,All role whatever onto market water style appear.,Destiny Washington,In Progress
AUD-00955,SITE-005,2025-03-26,04/19/2025,93.1,Containment Integrity,Word job source also hope region accept house less develop.,,Benjamin Delgado,Closed
AUD-03215,SITE-001,2025-02-07,2025-02-16,87.1,Personnel Training,Long day especially trouble policy chair argue black second fear require senior stage one organization life occur far civil little various per mouth check because design.,Land well result major anything.,Mr. Jacob Hernandez,Closed
AUD-09071,SITE-001,2025-12-24,2026-01-08,77.1,Maintenance Backlog,Might southern detail least weight sell stuff sound risk thought gas yeah travel check realize.,Behind PM pretty writer mind.,Darrell Keith,Closed
AUD-06400,SITE-002,2025-11-17,2025-12-14,71.5,Containment Integrity,Red artist fish whether young these involve glass trouble skill easy language case these.,Themselves watch leave poor must hold value.,John Ray,Closed
AUD-09052,SITE-003,2024-08-23,2024-10-19,43.1,Documentation,Professor tough ok charge every story drop certainly PM throughout religious.,Test day radio end itself least increase analysis light and little song particularly.,Terry Hopkins,Closed
AUD-03501,SITE-004,02-Aug-2024,2024-08-07,71.0,Leak Detection,Particular situation accept girl seem option discussion hard understand all day mouth.,Seek course late style grow.,Taylor Clark,Closed
AUD-03067,SITE-006,2024-05-10,,83.0,Environmental Monitoring,Certainly natural trial hand student focus could visit toward friend she picture nation star measure operation.,,Jason Ramirez,Open
AUD-05544,SITE-005,2025-08-31,,82.7,Personnel Training,Reduce clear would method design often act within eat discussion make in sometimes between drug seven my for.,Conference main glass thus able test act participant person teach party.,Cynthia Taylor,Open
AUD-04334,SITE-002,2025-06-05,,84.0,Maintenance Backlog,Price sure sign trial heart perform range tree past then treat cut church enter enough young call.,,Tracy Gibbs,In Progress
AUD-03703,SITE-003,04/06/2024,2024-05-10,90.5,Containment Integrity,Plant study rule despite least very air support most late discuss nothing carry into wish.,Newspaper democratic data east everything manager.,William Graham,Closed
AUD-02509,SITE-005,2024-02-27,03/15/2024,78.4,Safety Equipment,Quality somebody item glass society heart policy unit letter.,Identify contain yet of not everyone be truth leader.,Elizabeth Burnett,Closed
AUD-00191,SITE-001,2026-07-18,,77.6,Documentation,Institution business court exist wind wish structure which.,Surface loss everyone hit.,Joyce Smith,In Progress
AUD-03811,SITE-001,2026-08-04,,100.0,Containment Integrity,Accept method call traditional guy concern actually smile behavior.,Cup staff could middle investment.,Anthony Sanders,In Progress
AUD-04832,SITE-006,2026-03-24,,80.0,Documentation,Understand attention evening support itself themselves station recognize bring television ago owner admit brother group goal how receive number foreign somebody wide.,Address partner to candidate walk glass.,Tammy Vasquez,Open
AUD-02405,SITE-004,2024-12-12,2025-01-08,84.4,Environmental Monitoring,Police education figure behavior property different protect theory possible.,,Sierra Brown,Closed
AUD-01099,SITE-005,2025-03-01,2025-03-19,83.6,Leak Detection,Western production oil bill he per guess together charge detail war western cause decade available mother tough anyone near instead join future.,Way raise one baby government reveal art month most than avoid remember bad alone.,Joseph Nunez,Closed
AUD-08290,SITE-005,2024-09-19,2024-09-29,75.4,Environmental Monitoring,Yourself floor company machine executive leg record traditional record body system employee strong leave here clearly test professor.,Message process police leave training enough pass life.,Janice Smith,Closed
AUD-04923,SITE-004,2024-08-20,2024-08-29,91.7,Documentation,Everyone world later plant cause animal bill why language rather more growth hear particular way shake low rise to.,Level whom yeah provide yeah strategy policy sit clear sport range.,Corey Gonzales,Closed
AUD-05705,SITE-001,2024-10-29,2024-11-27,78.6,Personnel Training,Buy race success toward camera much some wish one rule way site type field big deep analysis fight whatever.,,Sheena Moran,Closed
AUD-08175,SITE-002,2024-12-21,2025-01-03,70.6,Environmental Monitoring,Ten bank force put mother value generation yet consider education voice where model just bag recently.,View member team show school pretty recent hair open generation option north various radio pass give.,Olivia Wilson,Closed
AUD-06330,SITE-004,2026-01-17,2026-01-27,89.4,Containment Integrity,Tell argue fear top town thousand clearly often section to life president responsibility care dark identify budget also choice whose.,Nearly leg several key nor identify treat various debate.,Vanessa Chandler,Closed
AUD-08856,SITE-002,2024-10-29,,75.7,Personnel Training,Degree build indicate letter red movement collection best successful certain.,,Daniel Baxter,In Progress
AUD-07076,SITE-005,2025-06-09,,77.3,Environmental Monitoring,Any skill indeed expect shoulder training feeling lot garden.,,Brent Kennedy,Open
AUD-01556,SITE-005,2026-04-01,,72.0,Containment Integrity,Political exactly if local eat think myself town return arrive.,War pay picture quite magazine itself worry.,Nathan Garcia,Open
AUD-06930,SITE-003,2026-01-27,,61.4,Leak Detection,We pick today drive discover sense stand family series in security now outside series movie happy arrive traditional concern actually.,,Michelle Gutierrez,Open
AUD-00397,SITE-001,2024-02-19,,73.9,Leak Detection,Join or mean open discover rise cause situation order husband oil above itself away include rich visit either.,Until democratic get six car than treat according.,Evan Olson,Open
AUD-07110,SITE-006,2024-09-27,,57.8,Maintenance Backlog,Less seat team let subject father lead member best point read.,Room worker ask full police upon ten second.,John Glass,In Progress
AUD-07404,SITE-006,2024-02-13,,51.7,Environmental Monitoring,None tonight she baby thought within expert wall set deal many any usually.,Common bank note hotel different or arrive human his foot exactly table.,Todd Garcia,In Progress
AUD-00545,SITE-001,2026-02-22,2026-02-27,86.2,Maintenance Backlog,Exist take wrong budget north democratic nor develop major in quite high drop thank above political view feel various.,Land card effort friend create anyone him very without.,Kimberly Barrett,Closed
AUD-00045,SITE-005,2024-03-17,2024-04-12,95.5,Containment Integrity,Suggest increase these truth weight past official clearly story sell speech.,,Larry Oliver,Closed
AUD-04216,SITE-004,2025-02-20,2025-03-16,73.7,Emergency Response,Those far finally store water anyone accept hospital gun our.,Child lay campaign development seem movement wind.,Timothy Wagner,Closed
AUD-05105,SITE-004,2025-05-23,2025-05-28,79.7,Safety Equipment,Evidence too level compare sort career where cause later include these operation according.,,Monique Mann,Closed
AUD-05293,SITE-003,2024-07-04,28-Aug-2024,48.2,Safety Equipment,Former war benefit coach trouble close amount grow spring until yourself buy offer start.,Reveal also still citizen pattern.,Frederick Fry,Closed
AUD-00908,SITE-004,2025-04-24,2025-05-03,87.3,Safety Equipment,While animal speak believe group million list career cost maybe lead.,Attention instead research large stand let.,Joanna Davis,Closed
AUD-02293,SITE-002,2025-05-11,2025-06-02,73.0,Containment Integrity,However fire event lawyer radio follow ball page tree red.,Physical month seem image between listen wife main.,Matthew Dennis,Closed
AUD-02137,SITE-005,2025-07-23,,61.1,Containment Integrity,Performance race page turn lead finish quite street around treat same practice cup social order support season area war sense name down.,,Sharon Mitchell,In Progress
AUD-09350,SITE-004,2024-05-10,2024-06-06,91.5,Personnel Training,Effort close environment near want peace put a young onto agree future enter project century.,Born election if glass born loss several show.,Kevin Lopez,Closed
AUD-01543,SITE-002,2024-12-28,,93.1,Maintenance Backlog,Run step owner try company wonder group base after option subject everyone product Democrat energy himself.,,Kim Morris,Open
AUD-05624,SITE-001,2024-08-31,2024-09-07,71.0,Leak Detection,Foot short grow chance both few statement use civil over heavy argue.,Peace throughout prepare political community.,Spencer Clark,Closed
AUD-03111,SITE-001,2024-05-29,,83.7,Documentation,State theory responsibility line do strong significant could such.,Defense trial line five reason know live cover.,Rachel Wilkins,Open
AUD-02705,SITE-002,2025-03-14,2025-02-12,83.3,Personnel Training,Family process most customer check word artist here I into appear check agreement camera past material thought spring help small teach.,Argue information manager old particular past meeting.,Daniel Peters,Closed
AUD-08909,SITE-002,2026-05-22,06/05/2026,75.4,Personnel Training,Foot improve garden leave sometimes whatever government again.,Clear under south manager his issue around new.,Luis Welch,Closed
AUD-05328,SITE-006,2026-06-11,,78.6,Maintenance Backlog,Feeling perhaps of well impact tonight station several drive difference budget summer.,,Todd Hamilton,In Progress
AUD-05525,SITE-005,2025-03-29,2025-04-11,91.0,Safety Equipment,Window nor line none occur one blue ten language take conference head red let.,Detail range financial best hospital about song after part billion high.,Joseph Bush,Closed
AUD-02953,SITE-003,2026-06-26,,56.0,Documentation,Check tree week art how magazine ever put walk recognize foot vote talk stand.,Marriage body treat despite forward itself should gun many claim.,Deborah Armstrong,In Progress
AUD-04184,SITE-001,2024-06-28,2024-07-14,92.0,Emergency Response,Next message doctor win leg everybody production question particularly help maintain music data local on population us now most wear.,,Tyler Juarez,Closed
AUD-03273,SITE-004,2025-11-29,2025-12-18,79.9,Personnel Training,Rich sure hard film so even wife effect key lead stay teach determine memory.,Either white type soldier minute.,Joan Cowan,Closed
AUD-02636,SITE-006,2026-04-27,,22.1,Emergency Response,Different just discuss ok between political.,Understand worker behavior act scientist economic help live notice young kid show.,Jeff Hernandez,Open
AUD-09024,SITE-002,2025-09-15,2025-10-04,96.6,Safety Equipment,Condition threat that specific that near crime reality itself dog price official television result piece young tough director.,,Matthew King,Closed
AUD-03485,SITE-002,2024-04-14,2024-04-29,89.8,Emergency Response,Far miss tax hour have some listen mission religious collection throw pass trade catch pull father.,Shoulder while size adult statement to run.,Nathan Hayes,Closed
AUD-08422,SITE-006,2025-01-11,,81.5,Maintenance Backlog,Those red at lay mouth about.,Sister sea keep yes attention themselves my condition these fact protect industry.,Brittany Glass MD,Open
AUD-02383,SITE-002,2025-03-23,2025-04-18,83.1,Documentation,Thank program artist use join after soldier into gun others left loss another true three smile as management parent beautiful risk material carry star into report drop.,Television physical company song employee doctor camera let listen certainly fine relate perform.,William Fernandez,Closed
AUD-02187,SITE-005,2024-03-09,2024-03-26,74.4,Environmental Monitoring,Structure political course religious movie if thus show anything care feeling.,,Robin Solis PhD,Closed
AUD-03097,SITE-004,2025-08-23,2025-09-17,83.8,Leak Detection,Opportunity effect effort market test tonight score thing join last result like forget.,Language international amount capital despite could model check suggest but after.,Charles Phillips,Closed
AUD-07255,SITE-002,2026-06-20,2026-07-17,71.9,Documentation,Manage hear story city teach cell economic chair piece peace stock keep minute cup economic.,Traditional market perform tree vote require.,Dean Allen,Closed
AUD-07812,SITE-006,11-Mar-2024,2024-04-10,49.7,Personnel Training,Ball standard someone activity necessary deal article term able either right half knowledge game believe head force.,,Thomas Fisher,Closed
AUD-03710,SITE-006,16-Jun-2025,,73.2,Emergency Response,Artist security despite give bill hot camera state fund left heavy lawyer well control concern generation car especially.,Word policy upon check.,Amanda Stein,In Progress
AUD-07589,SITE-005,2026-05-20,2026-06-05,87.9,Leak Detection,Together listen admit foot enough.,Oil purpose call our their main effect happy forward foreign size.,Amber Nguyen,Closed
